domain_code,requirement_id,title,statement,source_page_start,source_page_end,source_document,source_version
AU,AU.L2-3.3.5,Audit Correlation,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",89,90,AssessmentGuideL2v2.pdf,2.13
AU,AU.L2-3.3.6,Reduction & Reporting,Provide audit record reduction and report generation to support on- demand analysis and reporting.,91,92,AssessmentGuideL2v2.pdf,2.13
AU,AU.L2-3.3.7,Authoritative Time Source,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,93,94,AssessmentGuideL2v2.pdf,2.13
AU,AU.L2-3.3.8,Audit Protection,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",95,96,AssessmentGuideL2v2.pdf,2.13
AU,AU.L2-3.3.9,Audit Management,Limit management of audit logging functionality to a subset of privileged users.,97,98,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.1,System Baselining,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.",99,101,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.2,Security Configuration Enforcement,Establish and enforce security configuration settings for information technology products employed in organizational systems.,102,103,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.3,System Change Management,"Track, review, approve or disapprove, and log changes to organizational systems.",104,105,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.4,Security Impact Analysis,Analyze the security impact of changes prior to implementation.,106,107,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.5,Access Restrictions for Change,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.",108,110,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.6,Least Functionality,Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,111,112,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.7,Nonessential Functionality,"Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services.",113,115,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.8,Application Execution Policy,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.",116,117,AssessmentGuideL2v2.pdf,2.13
CM,CM.L2-3.4.9,User-Installed Software,Control and monitor user-installed software.,118,119,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.1,Identification [CUI Data],"Identify system users, processes acting on behalf of users, and devices.",120,121,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.2,Authentication [CUI Data],"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.",122,124,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.3,Multifactor Authentication,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,125,127,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.4,Replay-Resistant Authentication,Employ replay -resistant authentication mechanisms for network access to privileged and non-privileged accounts.,128,129,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.5,Identifier Reuse,Prevent reuse of identifiers for a defined period.,130,131,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.6,Identifier Handling,Disable identifiers after a defined period of inactivity.,132,133,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.7,Password Complexity,Enforce a minimum password complexity and change of characters when new passwords are created.,134,135,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.8,Password Reuse,Prohibit password reuse for a specified number of generations.,136,137,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.9,Temporary Passwords,Allow temporary password use for system logons with an immediate change to a permanent password.,138,139,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.10,Cryptographically-Protected Passwords,Store and transmit only cryptographically-protected passwords.,140,141,AssessmentGuideL2v2.pdf,2.13
IA,IA.L2-3.5.11,Obscure Feedback,Obscure feedback of authentication information.,142,143,AssessmentGuideL2v2.pdf,2.13
IR,IR.L2-3.6.1,Incident Handling,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",144,146,AssessmentGuideL2v2.pdf,2.13
IR,IR.L2-3.6.2,Incident Reporting,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",147,149,AssessmentGuideL2v2.pdf,2.13
IR,IR.L2-3.6.3,Incident Response Testing,Test the organizational incident response capability.,150,151,AssessmentGuideL2v2.pdf,2.13
MA,MA.L2-3.7.1,Perform Maintenance,Perform maintenance on organizational systems.,152,153,AssessmentGuideL2v2.pdf,2.13
MA,MA.L2-3.7.2,System Maintenance Control,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",154,155,AssessmentGuideL2v2.pdf,2.13
MA,MA.L2-3.7.3,Equipment Sanitization,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,156,157,AssessmentGuideL2v2.pdf,2.13
MA,MA.L2-3.7.4,Media Inspection,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.,158,159,AssessmentGuideL2v2.pdf,2.13
MA,MA.L2-3.7.5,Nonlocal Maintenance,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,160,162,AssessmentGuideL2v2.pdf,2.13
MA,MA.L2-3.7.6,Maintenance Personnel,Supervise the maintenance activities of maintenance personnel without required access authorization.,163,164,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.1,Media Protection,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",165,166,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.2,Media Access,Limit access to CUI on system media to authorized users.,167,168,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.3,Media Disposal [CUI Data],Sanitize or destroy system media containing CUI before disposal or release for reuse.,169,170,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.4,Media Markings,Mark media with necessary CUI markings and distribution limitations.,171,172,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.5,Media Accountability,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,173,174,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.6,Portable Storage Encryption,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,175,176,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.7,Removeable Media,Control the use of removable media on system components.,177,178,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.8,Shared Media,Prohibit the use of portable storage devices when such devices have no identifiable owner.,179,180,AssessmentGuideL2v2.pdf,2.13
MP,MP.L2-3.8.9,Protect Backups,Protect the confidentiality of backup CUI at storage locations.,181,182,AssessmentGuideL2v2.pdf,2.13
PS,PS.L2-3.9.1,Screen Individuals,Screen individuals prior to authorizing access to organizational systems containing CUI.,183,184,AssessmentGuideL2v2.pdf,2.13
PS,PS.L2-3.9.2,Personnel Actions,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,185,187,AssessmentGuideL2v2.pdf,2.13
PE,PE.L2-3.10.1,Limit Physical Access [CUI Data],"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",188,189,AssessmentGuideL2v2.pdf,2.13
PE,PE.L2-3.10.2,Monitor Facility,Protect and monitor the physical facility and support infrastructure for organizational systems.,190,191,AssessmentGuideL2v2.pdf,2.13
PE,PE.L2-3.10.3,Escort Visitors [CUI Data],Escort visitors and monitor visitor activity.,192,193,AssessmentGuideL2v2.pdf,2.13
PE,PE.L2-3.10.4,Physical Access Logs [CUI Data],Maintain audit logs of physical access.,194,195,AssessmentGuideL2v2.pdf,2.13
PE,PE.L2-3.10.5,Manage Physical Access [CUI Data],Control and manage physical access devices.,196,197,AssessmentGuideL2v2.pdf,2.13
PE,PE.L2-3.10.6,Alternative Work Sites,Enforce safeguarding measures for CUI at alternate work sites.,198,199,AssessmentGuideL2v2.pdf,2.13
RA,RA.L2-3.11.1,RIsk Assessments,"Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.",200,202,AssessmentGuideL2v2.pdf,2.13
RA,RA.L2-3.11.2,Vulnerability Scan,Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.,203,205,AssessmentGuideL2v2.pdf,2.13
RA,RA.L2-3.11.3,Vulnerability Remediation,Remediate vulnerabilities in accordance with risk assessments.,206,207,AssessmentGuideL2v2.pdf,2.13
CA,CA.L2-3.12.1,Security Control Assessment,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.,208,210,AssessmentGuideL2v2.pdf,2.13
CA,CA.L2-3.12.2,operational Plan of Action,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.,211,213,AssessmentGuideL2v2.pdf,2.13
CA,CA.L2-3.12.3,Security Control Monitoring,Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.,214,215,AssessmentGuideL2v2.pdf,2.13
CA,CA.L2-3.12.4,System Security Plan,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.",216,218,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.1,Boundary Protection [CUI Data],"Monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems.",219,221,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.2,Security Engineering,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.",222,224,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.3,Role Separation,Separate user functionality from system management functionality.,225,226,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.4,Shared Resource Control,Prevent unauthorized and unintended information transfer via shared system resources.,227,228,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.5,Public-Access System Separation [CUI Data],Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,229,230,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.6,Network Communication by Exception,"Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).",231,232,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.7,Split Tunneling,"Prevent remote devices from simultaneously establishing non- remote connections with organizational systems and communicating via some other connection to resources in external networks (i.e., split tunneling).",233,234,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.8,Data in Transit,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,235,236,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.9,Connections Termination,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,237,238,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.10,Key Management,Establish and manage cryptographic keys for cryptography employed in organizational systems.,239,241,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.11,CUI Encryption,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,242,243,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.12,Collaborative Device Control,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,244,245,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.13,Mobile Code,Control and monitor the use of mobile code.,246,247,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.14,Voice over Internet Protocol,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.,248,249,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.15,Communications Authenticity,Protect the authenticity of communications sessions.,250,251,AssessmentGuideL2v2.pdf,2.13
SC,SC.L2-3.13.16,Data at Rest,Protect the confidentiality of CUI at rest.,252,253,AssessmentGuideL2v2.pdf,2.13
SI,SI.L2-3.14.1,Flaw Remediation [CUI Data],"Identify, report, and correct system flaws in a timely manner.",254,256,AssessmentGuideL2v2.pdf,2.13
SI,SI.L2-3.14.2,Malicious Code Protection [CUI Data],Provide protection from malicious code at designated locations within organizational systems.,257,259,AssessmentGuideL2v2.pdf,2.13
SI,SI.L2-3.14.3,Security Alerts & Advisories,Monitor system security alerts and advisories and take action in response.,260,261,AssessmentGuideL2v2.pdf,2.13
SI,SI.L2-3.14.4,Update Malicious Code Protection [CUI Data],Update malicious code protection mechanisms when new releases are available.,262,263,AssessmentGuideL2v2.pdf,2.13
SI,SI.L2-3.14.5,System & File Scanning [CUI Data],"Perform periodic scans of organizational systems and real -time scans of files from external sources as files are downloaded, opened, or executed.",264,265,AssessmentGuideL2v2.pdf,2.13
SI,SI.L2-3.14.6,Monitor Communications for Attacks,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.",266,268,AssessmentGuideL2v2.pdf,2.13
SI,SI.L2-3.14.7,Identify Unauthorized Use,Identify unauthorized use of organizational systems.,269,276,AssessmentGuideL2v2.pdf,2.13
